,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
439,48,8,1,1,1,1,1.56
440,48,9,1,1,1,1,0.63
441,49,1,0,0,0,0,9.52
442,49,2,0,1,0,0,8.14
443,49,3,0,0,0,0,7.44
444,49,4,0,0,0,0,6.57
445,49,5,0,0,0,0,4.95
446,49,6,0,0,0,0,3.4
447,49,7,1,1,0,1,2.38
448,49,8,1,1,1,1,1.7
449,49,9,1,1,1,1,1.03
450,50,1,0,0,0,0,9.43
451,50,2,0,1,0,0,8.04
452,50,3,0,1,0,0,7.29
453,50,4,0,0,0,0,6.16
454,50,5,0,0,0,0,4.51
455,50,6,0,0,0,0,3.3
456,50,7,1,1,0,1,2.49
457,50,8,1,1,1,1,1.92
458,50,9,1,1,1,1,1.37
459,51,1,0,1,0,0,9.39
460,51,2,0,1,0,0,8.08
461,51,3,0,1,0,0,7.24
462,51,4,0,0,0,0,5.69
463,51,5,0,0,0,0,4.21
464,51,6,0,0,0,0,3.38
465,51,7,0,1,0,0,2.65
466,51,8,1,1,1,1,1.89
467,51,9,1,1,1,1,1.31
468,52,1,0,1,0,0,9.35
469,52,2,0,1,0,0,8.06
470,52,3,0,1,0,0,7.18
471,52,4,0,1,0,0,5.65
472,52,5,0,0,0,0,4.16
473,52,6,0,0,0,0,3.38
474,52,7,0,1,0,0,2.67
475,52,8,1,1,1,1,2.01
476,52,9,1,1,1,1,1.43
477,53,1,0,0,0,0,9.47
478,53,2,0,1,0,0,8.14
479,53,3,0,1,0,0,7.34
480,53,4,0,0,0,0,5.97
481,53,5,0,0,0,0,4.29
482,53,6,0,0,0,0,3.33
483,53,7,0,1,0,0,2.62
484,53,8,1,1,1,1,1.99
485,53,9,1,1,1,1,1.4
486,54,1,0,0,0,0,9.48
487,54,2,0,1,0,0,8.18
488,54,3,0,0,0,0,7.39
489,54,4,0,0,0,0,5.93
490,54,5,0,0,0,0,4.15
491,54,6,0,0,0,0,3.13
492,54,7,0,1,0,0,2.43
493,54,8,1,1,1,1,1.76
494,54,9,1,1,1,1,1.09
495,55,1,0,1,0,0,9.35
496,55,2,0,1,0,0,8.22
497,55,3,0,0,0,0,7.49
498,55,4,0,0,0,0,6.17
499,55,5,0,0,0,0,4.64
500,55,6,0,0,0,0,3.5
501,55,7,0,0,0,0,2.68
502,55,8,1,1,1,1,1.73
503,55,9,1,1,1,1,0.98
504,56,1,0,1,0,0,9.17
505,56,2,0,1,0,0,8.04
